"1500from5 - RawData"
"Wavelength nm.","T%"
1794.00,-6.2844
1796.00,-5.7782
1798.00,-5.9214
1800.00,-5.6124
1802.00,-6.0469
1804.00,-6.5351
1806.00,-6.8318
1808.00,-6.3364
1810.00,-5.9677
1812.00,-6.3450
1814.00,-6.8679
1816.00,-6.6192
1818.00,-6.4004
1820.00,-6.3639
1822.00,-6.3187
1824.00,-6.5601
1826.00,-6.2319
1828.00,-6.5878
1830.00,-6.5389
1832.00,-6.3061
1834.00,-6.1532
1836.00,-5.8803
1838.00,-5.8835
1840.00,-6.0502
1842.00,-5.9367
1844.00,-6.4241
1846.00,-6.7038
1848.00,-6.8228
1850.00,-6.5776
1852.00,-5.8861
1854.00,-6.0350
1856.00,-5.9852
1858.00,-6.6034
1860.00,-6.8038
1862.00,-6.6950
1864.00,-6.2757
1866.00,-5.9205
1868.00,-5.7802
1870.00,-5.9255
1872.00,-6.5339
1874.00,-6.8528
1876.00,-7.3297
1878.00,-6.5583
1880.00,-6.2427
1882.00,-5.4578
1884.00,-5.9442
1886.00,-6.3914
1888.00,-6.2488
1890.00,-6.4024
1892.00,-6.3039
1894.00,-6.3719
1896.00,-6.0248
1898.00,-6.3569
1900.00,-6.8536
1902.00,-6.8082
1904.00,-6.4133
1906.00,-6.2234
1908.00,-6.0378
1910.00,-5.9414
1912.00,-5.7010
1914.00,-6.3782
1916.00,-6.3723
1918.00,-6.1872
1920.00,-6.0400
1922.00,-6.2358
1924.00,-6.5241
1926.00,-6.3630
1928.00,-6.3418
1930.00,-6.3851
1932.00,-6.3998
1934.00,-6.6250
1936.00,-6.4933
1938.00,-6.2477
1940.00,-5.9398
1942.00,-5.7170
1944.00,-5.8156
1946.00,-5.4330
1948.00,-5.9943
1950.00,-6.2279
1952.00,-6.2941
1954.00,-6.1508
1956.00,-5.4988
1958.00,-5.9512
1960.00,-5.8016
1962.00,-6.0472
1964.00,-5.7994
1966.00,-6.0742
1968.00,-6.0104
1970.00,-6.2112
1972.00,-6.3562
1974.00,-6.5524
1976.00,-6.4874
1978.00,-5.7424
1980.00,-5.4220
1982.00,-5.4902
1984.00,-5.4929
1986.00,-5.8371
1988.00,-5.6820
1990.00,-6.2174
1992.00,-6.6016
1994.00,-6.4318
1996.00,-6.5410
1998.00,-5.9402
2000.00,-5.8022
2002.00,-5.6270
2004.00,-6.2496
2006.00,-6.8019
2008.00,-6.4000
2010.00,-5.8657
2012.00,-5.7641
2014.00,-6.3940
2016.00,-6.6728
2018.00,-6.5342
2020.00,-6.2338
2022.00,-5.7741
2024.00,-5.8403
2026.00,-5.3947
2028.00,-5.8110
2030.00,-5.4495
2032.00,-5.8677
2034.00,-6.1512
2036.00,-6.6572
2038.00,-6.3922
2040.00,-6.1617
2042.00,-5.9187
2044.00,-6.2175
2046.00,-6.3246
2048.00,-6.2840
2050.00,-6.6623
2052.00,-6.0260
2054.00,-6.3607
2056.00,-6.2689
2058.00,-7.1234
2060.00,-7.7626
2062.00,-8.0650
2064.00,-7.9332
2066.00,-7.7620
2068.00,-7.3495
2070.00,-6.6625
2072.00,-6.1588
2074.00,-5.9217
2076.00,-6.9653
2078.00,-7.2802
2080.00,-7.9511
2082.00,-8.1481
2084.00,-8.2850
2086.00,-7.6528
2088.00,-7.2916
2090.00,-6.7833
2092.00,-7.4328
2094.00,-7.0027
2096.00,-7.2180
2098.00,-7.8784
2100.00,-8.6714
2102.00,-8.7363
2104.00,-8.5481
2106.00,-7.6758
2108.00,-7.1261
2110.00,-5.9487
2112.00,-6.5039
2114.00,-7.0746
2116.00,-7.2616
2118.00,-6.7253
2120.00,-6.2015
2122.00,-7.2716
2124.00,-7.1384
2126.00,-7.0300
2128.00,-6.5835
2130.00,-7.2421
2132.00,-7.4570
2134.00,-6.6151
2136.00,-6.3402
2138.00,-6.3690
2140.00,-7.2484
2142.00,-7.6313
2144.00,-7.3723
2146.00,-6.8150
2148.00,-6.7211
2150.00,-7.1733
2152.00,-7.1559
2154.00,-6.8680
2156.00,-6.8636
2158.00,-7.2344
2160.00,-7.3108
2162.00,-7.4758
2164.00,-7.2944
2166.00,-6.8931
2168.00,-7.7995
2170.00,-8.2242
2172.00,-8.2537
2174.00,-7.8830
2176.00,-6.8076
2178.00,-7.0874
2180.00,-6.6348
2182.00,-7.4360
2184.00,-7.4524
2186.00,-6.6441
2188.00,-6.8050
2190.00,-6.9967
2192.00,-7.5871
2194.00,-7.3376
2196.00,-6.4221
2198.00,-6.5790
2200.00,-6.7126
2202.00,-7.0972
2204.00,-6.4024
2206.00,-6.3333
2208.00,-5.9364
2210.00,-6.5052
2212.00,-6.5449
2214.00,-7.2996
2216.00,-7.9164
2218.00,-7.9593
2220.00,-8.3682
2222.00,-7.4910
2224.00,-6.6039
2226.00,-5.7098
2228.00,-5.6112
2230.00,-5.6372
2232.00,-6.1274
2234.00,-6.8841
2236.00,-6.5542
2238.00,-6.3392
2240.00,-5.8834
2242.00,-6.1131
2244.00,-5.8662
2246.00,-5.5163
2248.00,-6.4909
2250.00,-7.0930
2252.00,-7.8916
2254.00,-7.6944
2256.00,-7.4444
2258.00,-6.2677
2260.00,-4.9637
2262.00,-3.8000
2264.00,-3.3068
2266.00,-2.8562
2268.00,-2.5981
2270.00,-2.7722
2272.00,-2.8338
2274.00,-2.4415
2276.00,-1.1143
2278.00,-0.5534
2280.00,0.6285
2282.00,0.9862
2284.00,2.3631
2286.00,3.7078
2288.00,5.1844
2290.00,7.1943
2292.00,8.5662
2294.00,10.6845
2296.00,12.7181
2298.00,15.3672
2300.00,17.2097
2302.00,19.2527
2304.00,21.3242
2306.00,24.7063
2308.00,26.7377
2310.00,29.0351
2312.00,31.2014
2314.00,33.9226
2316.00,35.9001
2318.00,36.8182
2320.00,36.5911
2322.00,37.2167
2324.00,36.8074
2326.00,38.3136
2328.00,38.4803
2330.00,40.2172
2332.00,39.0095
2334.00,38.3931
2336.00,38.1021
2338.00,40.6196
2340.00,40.8676
2342.00,40.8311
2344.00,39.3796
2346.00,39.6668
2348.00,39.6476
2350.00,39.5251
2352.00,40.3500
2354.00,39.6146
2356.00,39.9761
2358.00,38.1283
2360.00,39.6875
2362.00,39.6037
2364.00,40.1054
2366.00,38.3129
2368.00,39.0506
2370.00,39.5478
2372.00,40.0160
2374.00,39.1653
2376.00,38.2858
2378.00,36.8354
2380.00,34.4766
2382.00,31.9178
2384.00,30.2268
2386.00,27.0754
2388.00,24.6017
